,Depth
213,1.3212689505041737
214,1.228202604192281
215,1.1735528881383868
216,1.2162732210079146
217,1.1813527774933132
218,1.3733723261786632
219,1.3866036302116362
220,1.3453549772887907
221,1.2870218538020752
222,1.2344573813437214
223,1.1991055870614287
224,1.1593842041239926
225,1.1326373086093264
226,1.1307383872319716
227,1.0942006207867123
228,1.0827779122344012
229,1.066739871035185
230,1.0317124569098808
231,0.9962648205054871
232,0.9672982272522757
233,0.9405683143338129
234,0.927272566743119
235,0.9056737094574717
236,0.884497379162053
237,0.8894877933198044
238,0.8927792667198624
239,0.9024897303458422
240,1.0013277834913796
241,0.9962648205054871
242,0.9793870927068905
243,0.9975361124541184
244,0.9793870927068905
245,0.9618119777791091
246,0.9449055076443974
247,0.927272566743119
248,0.92425763014042
249,0.9135229157143139
250,0.8976647210841212
251,0.8911370278856103
252,0.8878314900271139
253,0.8976647210841212
254,0.8911370278856103
255,0.881134086458758
256,0.8708627097841466
257,0.8603046556897852
258,0.8567181556076207
259,0.863857067277154
260,0.8567181556076207
261,0.8494396292805814
262,0.8438850180557804
263,0.8363453807564034
264,0.8247337082342487
265,0.8106928292986623
266,0.7917747937749984
267,0.7939284492223587
268,0.7852315697521413
269,0.7671401139037842
270,0.7553145256476418
271,0.7170072362690723
272,0.7115302437728998
273,0.6685605302292704
274,0.6669617484185949
275,0.658832328771559
276,0.6453236168316374
277,0.6329451453596483
278,0.6218729708644137
279,0.6199829005228464
280,0.6256139392838933
281,0.627465271339855
282,0.6180794735662513
283,0.6043611511815277
284,0.5941050097704985
285,0.5898860612157065
286,0.5834243101843897
287,0.5877502838841259
288,0.5941050097704985
289,0.5961888720813409
290,0.5941050097704985
291,0.5898860612157065
292,0.5877502838841259
293,0.5834243101843897
294,0.5812333523805985
295,0.5767934938289908
296,0.572273546757851
297,0.5699824217591818
298,0.5653354898224023
299,0.5653354898224023
300,0.5605989357915938
301,0.5581957109238962
302,0.5533165033239695
303,0.5533165033239695
304,0.5483362008055976
305,0.5432495473311801
306,0.5406645753816177
307,0.5354075457146167
308,0.5327338690031808
309,0.5300289441631941
310,0.5272918669272396
311,0.5217174238876919
